2025年2回中京5日目10R,2025032907020510,03Ｄ  
2025年2回中京5日目 9R,2025032907020509,03Ｄ  
2025年2回中京5日目 8R,2025032907020508,03Ｄ  
2025年2回中京5日目 7R,2025032907020507,03Ｄ  
2025年2回中京5日目 6R,2025032907020506,03Ｄ  
2025年2回中京5日目 5R,2025032907020505,03Ｄ  
2025年2回中京5日目 4R,2025032907020504,03Ｄ  
2025年2回中京5日目 3R,2025032907020503,03Ｄ  
2025年2回中京5日目 2R,2025032907020502,03Ｄ  
2025年2回中京5日目 1R,2025032907020501,0DＣ  
2025年2回阪神1日目12R,2025032909020112,03Ｄ  
2025年2回阪神1日目11R,2025032909020111,0DＣ  
2025年2回阪神1日目10R,2025032909020110,0DＣ  
2025年2回阪神1日目 9R,2025032909020109,0DＣ  
2025年2回阪神1日目 7R,2025032909020107,03Ｄ  
2025年2回阪神1日目 6R,2025032909020106,0DＣ  
2025年2回阪神1日目 5R,2025032909020105,0DＣ  
2025年2回阪神1日目 4R,2025032909020104,03Ｄ  
2025年2回阪神1日目 3R,2025032909020103,0DＣ  
2025年2回阪神1日目 2R,2025032909020102,03Ｄ  
2025年2回阪神1日目 1R,2025032909020101,0DＣ  
2025年1回阪神8日目12R,2025032309010812,0DＣ  
2025年1回阪神8日目11R,2025032309010811,0DＣ  
2025年1回阪神8日目10R,2025032309010810,03Ｄ  
2025年1回阪神8日目 9R,2025032309010809,03Ｄ  
2025年1回阪神8日目 8R,2025032309010808,0DＣ  
2025年1回阪神8日目 7R,2025032309010807,03Ｄ  
2025年1回阪神8日目 6R,2025032309010806,02Ｂ  
2025年1回阪神8日目 5R,2025032309010805,02Ｂ  
2025年1回阪神8日目 4R,2025032309010804,03Ｄ  
2025年1回阪神8日目 3R,2025032309010803,03Ｄ  
2025年1回阪神8日目 2R,2025032309010802,0DＣ  
2025年1回阪神8日目 1R,2025032309010801,03Ｄ  
2025年2回中京4日目12R,2025032307020412,03Ｄ  
2025年2回中京4日目11R,2025032307020411,0DＣ  
2025年2回中京4日目10R,2025032307020410,03Ｄ  
2025年2回中京4日目 9R,2025032307020409,0DＣ  
2025年2回中京4日目 8R,2025032307020408,03Ｄ  
2025年2回中京4日目 7R,2025032307020407,03Ｄ  
2025年2回中京4日目 6R,2025032307020406,03Ｄ  
2025年2回中京4日目 5R,2025032307020405,03Ｄ  
2025年2回中京4日目 4R,2025032307020404,0DＣ  
2025年2回中京4日目 3R,2025032307020403,03Ｄ  
2025年2回中京4日目 2R,2025032307020402,03Ｄ  
2025年2回中京4日目 1R,2025032307020401,03Ｄ  
2025年2回中山8日目12R,2025032306020812,03Ｄ  
2025年2回中山8日目11R,2025032306020811,0DＣ  
2025年2回中山8日目10R,2025032306020810,0DＣ  
2025年2回中山8日目 9R,2025032306020809,03Ｄ  
2025年2回中山8日目 8R,2025032306020808,02Ｂ  
2025年2回中山8日目 7R,2025032306020807,03Ｄ  
2025年2回中山8日目 6R,2025032306020806,0DＣ  
2025年2回中山8日目 5R,2025032306020805,02Ｂ  
2025年2回中山8日目 3R,2025032306020803,0DＣ  
2025年2回中山8日目 2R,2025032306020802,0DＣ  
2025年2回中山8日目 1R,2025032306020801,03Ｄ  
2025年2回中京3日目12R,2025032207020312,03Ｄ  
2025年2回中京3日目11R,2025032207020311,03Ｄ  
2025年2回中京3日目10R,2025032207020310,03Ｄ  
2025年2回中京3日目 9R,2025032207020309,0DＣ  
2025年2回中京3日目 8R,2025032207020308,0DＣ  
2025年2回中京3日目 7R,2025032207020307,03Ｄ  
2025年2回中京3日目 6R,2025032207020306,03Ｄ  
2025年2回中京3日目 5R,2025032207020305,0DＣ  
2025年2回中京3日目 4R,2025032207020304,0DＣ  
2025年2回中京3日目 3R,2025032207020303,03Ｄ  
2025年2回中京3日目 2R,2025032207020302,03Ｄ  
2025年2回中京3日目 1R,2025032207020301,03Ｄ  
2025年2回中山7日目12R,2025032206020712,03Ｄ  
2025年2回中山7日目11R,2025032206020711,0DＣ  
2025年2回中山7日目10R,2025032206020710,0DＣ  
2025年2回中山7日目 9R,2025032206020709,0DＣ  
2025年2回中山7日目 7R,2025032206020707,0DＣ  
2025年2回中山7日目 6R,2025032206020706,03Ｄ  
2025年2回中山7日目 5R,2025032206020705,03Ｄ  
2025年2回中山7日目 4R,2025032206020704,03Ｄ  
2025年2回中山7日目 3R,2025032206020703,03Ｄ  
2025年2回中山7日目 2R,2025032206020702,0DＣ  
2025年2回中山7日目 1R,2025032206020701,0DＣ  
2025年1回阪神7日目12R,2025032209010712,03Ｄ  
2025年1回阪神7日目11R,2025032209010711,0DＣ  
2025年1回阪神7日目10R,2025032209010710,0DＣ  
2025年1回阪神7日目 9R,2025032209010709,03Ｄ  
2025年1回阪神7日目 8R,2025032209010708,03Ｄ  
2025年1回阪神7日目 7R,2025032209010707,03Ｄ  
2025年1回阪神7日目 6R,2025032209010706,03Ｄ  
2025年1回阪神7日目 5R,2025032209010705,03Ｄ  
2025年1回阪神7日目 4R,2025032209010704,03Ｄ  
2025年1回阪神7日目 3R,2025032209010703,02Ｂ  
2025年1回阪神7日目 2R,2025032209010702,0DＣ  
2025年1回阪神7日目 1R,2025032209010701,03Ｄ  
2025年1回阪神6日目12R,2025031609010612,03Ｄ  
2025年1回阪神6日目11R,2025031609010611,0DＣ  
2025年1回阪神6日目10R,2025031609010610,03Ｄ  
2025年1回阪神6日目 9R,2025031609010609,0DＣ  
2025年1回阪神6日目 8R,2025031609010608,03Ｄ  
2025年1回阪神6日目 7R,2025031609010607,0DＣ  
2025年1回阪神6日目 6R,2025031609010606,03Ｄ  
2025年1回阪神6日目 5R,2025031609010605,0DＣ  
2025年1回阪神6日目 3R,2025031609010603,03Ｄ  
2025年1回阪神6日目 2R,2025031609010602,03Ｄ  
2025年1回阪神6日目 1R,2025031609010601,0DＣ  
2025年2回中京2日目12R,2025031607020212,0DＣ  
2025年2回中京2日目11R,2025031607020211,0DＣ  
2025年2回中京2日目10R,2025031607020210,0DＣ  
2025年2回中京2日目 9R,2025031607020209,03Ｄ  
2025年2回中京2日目 8R,2025031607020208,0DＣ  
2025年2回中京2日目 7R,2025031607020207,03Ｄ  
2025年2回中京2日目 6R,2025031607020206,0DＣ  
2025年2回中京2日目 5R,2025031607020205,03Ｄ  
2025年2回中京2日目 4R,2025031607020204,0DＣ  
2025年2回中京2日目 3R,2025031607020203,02Ｂ  
2025年2回中京2日目 2R,2025031607020202,0DＣ  
2025年2回中京2日目 1R,2025031607020201,0DＣ  
2025年2回中山6日目12R,2025031606020612,03Ｄ  
2025年2回中山6日目11R,2025031606020611,03Ｄ  
2025年2回中山6日目10R,2025031606020610,03Ｄ  
2025年2回中山6日目 9R,2025031606020609,0DＣ  
